,Unnamed: 0,Unnamed: 0.1,duration,title,rating,student,difficulty,link,site,skill,comments,subjectivity,comments_score,translated_title,price
0,0,0,4.0,Business intelligence and data warehousing,3.862068965517242,9373.0,Intermediate,https://www.coursera.org/learn/business-intelligence-data-warehousing,cousera,snowflake,course great hoping others learn great stuff,0.75,0.8,course great hoping others learn great stuff,$39 subscription fee per month
1,1,1,4.0,Business intelligence and data warehousing,3.862068965517242,9373.0,Intermediate,https://www.coursera.org/learn/business-intelligence-data-warehousing,cousera,snowflake,course great hoping others learn great stuff,0.75,0.8,course great hoping others learn great stuff,$39 subscription fee per month
2,2,2,4.0,Business intelligence and data warehousing,3.862068965517242,9373.0,Intermediate,https://www.coursera.org/learn/business-intelligence-data-warehousing,cousera,snowflake,course great hoping others learn great stuff,0.75,0.8,course great hoping others learn great stuff,$39 subscription fee per month
3,3,3,4.0,Business intelligence and data warehousing,3.862068965517242,9373.0,Intermediate,https://www.coursera.org/learn/business-intelligence-data-warehousing,cousera,snowflake,course great hoping others learn great stuff,0.75,0.8,course great hoping others learn great stuff,$39 subscription fee per month
4,4,4,4.0,Business intelligence and data warehousing,3.862068965517242,9373.0,Intermediate,https://www.coursera.org/learn/business-intelligence-data-warehousing,cousera,snowflake,course great hoping others learn great stuff,0.75,0.8,course great hoping others learn great stuff,$39 subscription fee per month
5,0,0,,Preparing for Google Cloud Certification: Cloud Architect,4.703364050632908,540913.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-cloud-architect,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
6,1,1,,Preparing for Google Cloud Certification: Cloud Engineer,4.704339045287638,538988.0,Intermediate,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
7,2,2,,"Data Engineering, Big Data, and Machine Learning on GCP",4.631488282032452,211005.0,Intermediate,https://www.coursera.org/specializations/gcp-data-machine-learning,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
8,3,3,,Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.702415426850868,579532.0,Beginner,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
9,4,4,,Preparing for Google Cloud Certification: Cloud Data Engineer,4.628340134263525,216955.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-data-engineering,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
10,5,5,,Developing Applications with Google Cloud Platform,4.713119420989143,519772.0,Intermediate,https://www.coursera.org/specializations/developing-apps-gcp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
11,6,6,,Preparing for Google Cloud Certification: Machine Learning Engineer,4.595076164874552,313016.0,Intermediate,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
12,7,7,,Architecting with Google Kubernetes Engine,4.720301040218591,513552.0,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
13,8,8,,Google Cloud Digital Leader Training,4.725988700564971,17665.0,Beginner,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
14,9,9,4.0,Cloud Computing Basics (Cloud 101),4.539312754804892,110105.0,Beginner,https://www.coursera.org/learn/cloud-computing-basics,cousera,gcp,course good delivered steady pace fast numerous examples things taught drawback video transcripts well donethank given opportunity follow excellent course providing financial aid thank every one helping course helped get good knowledge cloud computingi really loved content course never thought course help teach basic concepts deeply precision uptodate knowledge thank stakeholdersgreat learning coursebut sholud practical lesson learn real hands onreal worlds exmaples given topics pokemon go deployed kubernetes,0.4931818181818182,0.3333333333333333,course good delivered steady pace fast numerous examples things taught drawback video transcripts well donethank given opportunity follow excellent course providing financial aid thank every one helping course helped get good knowledge cloud computingi really loved content course never thought course help teach basic concepts deeply precision uptodate knowledge thank stakeholdersgreat learning coursebut sholud practical lesson learn real hands onreal worlds exmaples given topics pokemon go deployed kubernetes,$39 subscription fee per month
15,10,10,,Preparing for Google Cloud Certification: Cloud Architect,4.703364050632908,540913.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-cloud-architect,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
16,11,11,,Preparing for Google Cloud Certification: Cloud Engineer,4.704339045287638,538988.0,Intermediate,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
17,12,12,,"Data Engineering, Big Data, and Machine Learning on GCP",4.631488282032452,211005.0,Intermediate,https://www.coursera.org/specializations/gcp-data-machine-learning,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
18,13,13,,Preparing for Google Cloud Certification: Cloud DevOps Engineer,4.702415426850868,579532.0,Beginner,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
19,14,14,,Preparing for Google Cloud Certification: Cloud Data Engineer,4.628340134263525,216955.0,Intermediate,https://www.coursera.org/professional-certificates/gcp-data-engineering,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
20,15,15,,Developing Applications with Google Cloud Platform,4.713119420989143,519772.0,Intermediate,https://www.coursera.org/specializations/developing-apps-gcp,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
21,16,16,,Preparing for Google Cloud Certification: Machine Learning Engineer,4.595076164874552,313016.0,Intermediate,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
22,17,17,,Architecting with Google Kubernetes Engine,4.720301040218591,513552.0,Beginner,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
23,18,18,,Google Cloud Digital Leader Training,4.725988700564971,17665.0,Beginner,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training,cousera,gcp,,0.0,0.0,,$39 subscription fee per month
